full_name,description,language,topics,default_branch,license,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,watchers_count,size_kb,is_fork,is_archived,has_wiki,has_projects,has_discussions,contributors_count,commit_count_last_year,has_readme,readme_size_bytes,has_ci_workflow,open_prs_count,release_count,repo_age_days,days_since_last_push,days_since_last_update,commits_per_month,doc_score,maturity_score,community_score,topics_count,is_likely_template,is_abandoned
vectorize-io/hindsight,Hindsight: Agent Memory That  Learns,Python,"['agentic-ai', 'agents', 'ai-memory', 'memory']",main,MIT,2025-10-30T11:49:48Z,2026-05-29T17:53:12Z,2026-05-29T17:52:30Z,15122,847,88,15122,654364,False,False,False,False,True,117,0,True,13022,True,26,57,-303,-514,-514,0.0,2,4,16.37,4,False,False
alistaitsacle/free-llm-api-keys,"Free LLM API keys for GPT-5.5, Claude, DeepSeek, Gemini, Grok — copy, paste, use. Updated 3-5x daily. No credit card needed.",Python,"['ai', 'api', 'api-key', 'api-keys', 'chatgpt', 'claude', 'deepseek', 'free', 'free-api', 'free-api-key', 'free-gpt', 'free-llm', 'gemini', 'gpt', 'gpt4', 'grok', 'large-language-models', 'llm', 'llm-api', 'openai']",main,MIT,2026-03-23T03:28:17Z,2026-05-29T17:52:14Z,2026-05-29T17:52:10Z,1178,121,1,1178,6628,False,False,True,True,True,6,0,True,125752,False,0,0,-447,-514,-514,0.0,3,2,11.88,20,False,False
FuzzyGrim/Yamtrack,A self hosted media tracker.,Python,"['django', 'docker', 'docker-compose', 'media-tracker', 'postgresql', 'self-hosted', 'sqlite', 'tailwindcss']",dev,AGPL-3.0,2022-12-09T22:58:21Z,2026-05-29T17:52:10Z,2026-05-29T17:52:04Z,2768,191,273,2768,9886,False,False,True,True,True,41,0,True,7894,True,36,80,753,-514,-514,0.0,3,5,13.18,8,False,False
GradientHQ/parallax,Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere,Python,"['blackwell', 'chatbot', 'decentralized-inference', 'deepseek', 'distributed-systems', 'glm', 'kimi', 'large-language-models', 'llama', 'llm', 'llm-serving', 'minimax', 'oss-gpt', 'python', 'pytorch', 'qwen', 'transformer']",main,Apache-2.0,2025-09-22T07:00:51Z,2026-05-29T17:51:41Z,2026-05-29T17:51:39Z,1301,138,31,1301,17484,False,False,True,True,False,29,0,True,8928,True,5,4,-265,-514,-514,0.0,3,5,12.11,17,False,False
google/skills,Agent Skills for Google products and technologies,Python,"['google', 'googlecloud', 'skills']",main,Apache-2.0,2026-03-31T19:02:20Z,2026-05-29T17:51:33Z,2026-05-29T17:51:31Z,10883,862,23,10883,238,False,False,False,True,False,4,0,True,2651,False,13,0,-455,-514,-514,0.0,2,3,16.06,3,False,False
pypa/cibuildwheel,🎡 Build Python wheels for all the platforms with minimal configuration. ,Python,"['appveyor', 'azure-pipelines', 'build-automation', 'ci', 'circleci', 'github-actions', 'pypi', 'python', 'python-wheels', 'travis-ci', 'wheel']",main,BSD-2-Clause,2017-03-19T20:59:00Z,2026-05-29T17:51:14Z,2026-05-29T17:51:10Z,2237,315,87,2237,8190,False,False,False,False,True,163,0,True,30211,True,10,99,2844,-514,-514,0.0,2,4,13.47,11,False,False
agentic-in/elephant-agent,Personal-Model First Self Evolving AI Agent 🐘,Python,"['agent', 'agentic', 'agentic-ai', 'context', 'llm', 'memory', 'models', 'personal-ai', 'self-evolution']",main,,2026-05-15T07:08:17Z,2026-05-29T17:50:54Z,2026-05-29T17:50:50Z,560,60,19,560,198152,False,False,False,True,False,8,0,True,9377,True,4,1,-500,-514,-514,0.0,2,5,10.44,9,False,False
RimSort/RimSort,"RimSort is an open source mod manager for the video game RimWorld. There is support for Linux, Mac, and Windows, built from the ground up to be a reliable, community-managed alternative to RimPy Mod Manager.",Python,"['mod-manager', 'mods', 'rimworld', 'sorting']",main,GPL-3.0,2023-02-07T02:53:43Z,2026-05-29T17:50:42Z,2026-05-29T17:50:41Z,1096,122,148,1096,52560,False,False,False,True,False,52,0,True,2176,True,12,94,693,-514,-514,0.0,2,5,11.81,4,False,False
agentic-community/mcp-gateway-registry,"Enterprise-ready MCP Gateway & Registry that centralizes AI development tools with secure OAuth authentication, dynamic tool discovery, and unified access for both autonomous AI agents and AI coding assistants. Transform scattered MCP server chaos into governed, auditable tool access with Keycloak/Entra integration.",Python,"['a2a', 'agentic-ai', 'agents', 'ans', 'documentdb', 'ecs', 'ecs-fargate', 'entra-id', 'fgac', 'mcp', 'mcp-gateway', 'mcp-registry', 'mcp-servers', 'mongodb', 'oauth2', 'okta', 'registry', 'skills', 'terraform']",main,Apache-2.0,2025-05-29T18:23:37Z,2026-05-29T17:50:27Z,2026-05-29T17:50:21Z,668,178,87,668,47553,False,False,True,True,True,45,0,True,94415,True,7,21,-149,-514,-514,0.0,3,5,11.69,19,False,False
TomoeMami/S1PlainTextBackup,纯文本格式的S1帖子备份,Python,[],master,,2020-02-02T09:55:49Z,2026-05-29T17:50:11Z,2026-05-29T17:50:06Z,528,62,0,528,580987,False,False,False,False,True,1,36289,True,1510,True,0,1,1794,-514,-514,606.84,1,2,10.41,0,False,False
PostHog/posthog-foss,"PostHog FOSS is a read-only mirror of PostHog, with all proprietary code removed. NOTE: This repo is synced automatically from the main PostHog repo. Please raise any issues and PRs there.",Python,[],master,MIT,2020-08-11T13:26:26Z,2026-05-29T17:50:10Z,2026-05-29T17:50:04Z,502,99,0,502,3300788,False,False,False,False,False,494,40979,True,10700,True,0,0,1603,-514,-514,766.92,2,2,10.83,0,False,False
microsoft/PyRIT,The Python Risk Identification Tool for generative AI (PyRIT) is an open source framework built to empower security professionals and engineers to proactively identify risks in generative AI systems.,Python,"['ai-red-team', 'generative-ai', 'red-team-tools', 'responsible-ai']",main,MIT,2023-12-12T15:46:28Z,2026-05-29T17:50:05Z,2026-05-29T17:50:01Z,3901,771,93,3901,356431,False,False,False,True,False,125,0,True,1245,True,46,20,385,-514,-514,0.0,1,5,14.92,4,False,False
huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,"['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",main,Apache-2.0,2018-10-29T13:56:00Z,2026-05-29T17:49:49Z,2026-05-29T17:56:39Z,161051,33355,2368,161051,499548,False,False,True,True,False,3957,5068,True,18000,True,1332,257,2255,-514,-514,67.42,3,5,22.4,19,False,False
marin-community/marin,Open-source framework for the research and development of foundation models.,Python,[],main,Apache-2.0,2024-03-22T06:29:42Z,2026-05-29T17:49:34Z,2026-05-29T17:57:01Z,1019,119,570,1019,773164,False,False,True,True,False,88,0,True,4887,True,101,15,284,-514,-514,0.0,3,5,11.72,0,False,False
caronc/apprise,Apprise - Push Notifications that work with just about every platform!,Python,"['alerts', 'apprise', 'framework', 'notification-api', 'notification-hub', 'notification-service', 'notifications', 'notifier', 'notify', 'push-notifications', 'python']",master,BSD-2-Clause,2017-11-25T18:06:38Z,2026-05-29T17:49:34Z,2026-05-29T17:51:35Z,16653,602,35,16653,11960,False,False,True,False,True,103,0,True,57289,True,12,62,2593,-514,-514,0.0,3,4,16.12,11,False,False
datahub-project/datahub,The Context Platform for your Data and AI Stack,Python,"['agent-platform', 'context-management', 'data-catalog', 'data-discovery', 'data-governance', 'data-observability', 'datahub', 'metadata']",master,Apache-2.0,2015-11-18T05:47:40Z,2026-05-29T17:49:26Z,2026-05-29T17:49:20Z,11996,3494,904,11996,598530,False,False,False,True,False,751,4746,True,37294,True,500,156,3331,-514,-514,42.74,2,5,17.55,8,False,False
openstack/openstack,Repository tracking all OpenStack repositories as submodules. Mirror of code maintained at opendev.org.,Python,[],master,Apache-2.0,2013-10-24T17:38:08Z,2026-05-29T17:49:09Z,2026-05-29T17:49:05Z,5923,1620,1,5923,162142,False,False,False,False,False,4544,4529,True,1554,False,0,0,4086,-514,-514,33.25,1,1,16.08,0,False,False
commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",Python,"['advanced-driver-assistance-systems', 'driver-assistance-systems', 'robotics']",master,MIT,2016-11-24T01:33:30Z,2026-05-29T17:49:30Z,2026-05-29T17:51:57Z,61197,10939,162,61197,1117563,False,False,True,True,False,724,2084,True,7133,True,74,62,2959,-514,-514,21.13,3,5,20.32,3,False,False
Pyomo/pyomo,An object-oriented algebraic modeling language in Python for structured optimization problems.,Python,"['linear-programming', 'mathematical-programming', 'modeling-language', 'nonlinear-programming', 'optimization', 'python']",main,NOASSERTION,2016-05-27T19:33:45Z,2026-05-29T17:48:35Z,2026-05-29T17:48:26Z,2464,579,355,2464,106462,False,False,True,True,False,201,3563,True,5596,True,21,24,3140,-514,-514,34.04,3,5,14.17,6,False,False
stamparm/maltrail,Malicious traffic detection system,Python,"['attack-detection', 'intrusion-detection', 'malware', 'network-monitoring', 'python', 'security', 'sensor']",master,MIT,2014-12-04T21:33:46Z,2026-05-29T17:48:27Z,2026-05-29T17:58:01Z,8474,1251,92,8474,45807,False,False,True,True,False,5,0,True,46027,True,4,4,3680,-514,-514,0.0,3,5,16.18,7,False,False
microsoft/debugpy,An implementation of the Debug Adapter Protocol for Python,Python,[],main,NOASSERTION,2020-01-15T22:38:20Z,2026-05-29T17:48:21Z,2026-05-29T17:48:00Z,2415,196,219,2415,60302,False,False,True,True,True,81,0,True,5496,True,10,52,1812,-514,-514,0.0,3,5,13.07,0,False,False
ycdxsb/PocOrExp_in_Github,Automatically Collect POC or EXP from GitHub by CVE ID.,Python,"['cve', 'exploit', 'poc', 'vulnerabilities']",main,MIT,2021-04-13T05:46:16Z,2026-05-29T17:47:54Z,2026-05-29T17:47:49Z,1161,233,0,1161,1088196,False,False,True,True,False,2,4247,True,7258,False,0,0,1358,-514,-514,93.82,3,2,12.51,4,False,False
mujocolab/mjlab,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research",Python,"['isaaclab', 'mujoco', 'mujoco-warp', 'reinforcement-learning', 'robotics-simulation']",main,Apache-2.0,2025-06-10T02:34:09Z,2026-05-29T17:47:58Z,2026-05-29T17:51:06Z,2404,398,32,2404,71530,False,False,True,True,True,46,0,True,5205,True,11,7,-161,-514,-514,0.0,3,5,13.77,5,False,False
jgravelle/jcodemunch-mcp,"The leading, most token-efficient MCP server for GitHub source code exploration via tree-sitter AST parsing",Python,"['claude', 'claude-code', 'serena', 'token', 'token-savings', 'tokens']",main,NOASSERTION,2026-02-09T01:58:27Z,2026-05-29T17:47:53Z,2026-05-29T17:47:21Z,1870,292,1,1870,8134,False,False,True,True,True,41,0,True,49614,True,0,356,-405,-514,-514,0.0,3,4,13.21,6,False,False
Olshansk/rss-feeds,Generate RSS feeds for all the blogs that don't have one,Python,[],main,MIT,2025-01-04T18:44:43Z,2026-05-29T17:46:49Z,2026-05-29T17:46:44Z,580,65,17,580,23146,False,False,False,True,True,13,9114,True,12890,True,7,0,-4,-514,-514,9114.0,2,4,10.55,0,False,False
K-Dense-AI/karpathy,An agentic Machine Learning Engineer,Python,"['agentic-ai', 'automl', 'machine-learning']",main,MIT,2025-11-16T22:39:26Z,2026-05-29T17:46:42Z,2026-05-29T17:46:36Z,1447,165,3,1447,27,False,False,False,False,False,4,0,True,5683,False,2,0,-320,-514,-514,0.0,2,2,12.39,3,False,False
mgonzs13/yolo_ros,"Ultralytics YOLOv8, YOLOv9, YOLOv10, YOLOv11, YOLOv12 for ROS 2",Python,"['3d-human-pose-estimation', '3d-object-detection', 'human-pose-estimation', 'instance-segmentation', 'obb', 'object-detection', 'object-tracking', 'oriented-bounding-box', 'ros2', 'ultralytics', 'yolo', 'yolo-world', 'yolo26', 'yoloe', 'yolov10', 'yolov11', 'yolov12', 'yolov8', 'yolov9']",main,GPL-3.0,2023-02-21T16:42:18Z,2026-05-29T17:46:31Z,2026-05-29T17:46:25Z,1051,252,1,1051,3020,False,False,True,True,False,13,0,True,14569,True,0,32,679,-514,-514,0.0,3,4,12.49,19,False,False
conda-forge/staged-recipes,A place to submit conda recipes before they become fully fledged conda-forge feedstocks,Python,"['conda-forge', 'hacktoberfest']",main,BSD-3-Clause,2015-09-02T21:49:20Z,2026-05-29T17:46:24Z,2026-05-29T17:46:20Z,826,6032,1240,826,175120,False,False,False,False,False,6590,14868,True,16740,True,957,0,3408,-514,-514,130.88,2,3,15.42,2,False,False
apocas/restai,"RESTai is an AIaaS (AI as a Service) open-source platform. Supports many public and local LLM suported by Ollama/vLLM/etc. Precise embeddings usage, tuning, analytics etc. Built-in image/audio generation with dynamic loading generators. Live chat deployment. Built-in block based graphical language. Prompt versioning and much more...",Python,"['blocky', 'embeddings', 'fastapi', 'langchain', 'llama', 'llamaindex', 'llm', 'ollama', 'openai', 'openaiapi', 'python', 'rag', 'stable-diffusion', 'transformers']",master,Apache-2.0,2023-05-18T22:27:33Z,2026-05-29T17:46:18Z,2026-05-29T17:46:13Z,508,102,4,508,77457,False,False,False,False,False,10,0,True,31133,True,2,110,593,-514,-514,0.0,2,4,10.87,14,False,False
TonyJiangWJ/mimotion,小米运动刷步数（微信支付宝）支持邮箱登录,Python,[],master,Apache-2.0,2023-05-31T06:35:33Z,2026-05-29T17:46:13Z,2026-05-29T17:46:07Z,1104,1936,3,1104,5170,False,False,True,True,True,3,0,True,16887,True,0,0,580,-514,-514,0.0,3,3,14.58,0,False,False
pytorch/helion,"A Python-embedded DSL that makes it easy to write fast, scalable ML kernels with minimal boilerplate.",Python,[],main,BSD-3-Clause,2025-04-22T17:50:13Z,2026-05-29T17:45:53Z,2026-05-29T17:45:47Z,871,150,198,871,20957,False,False,False,True,False,78,0,True,19473,True,121,36,-112,-514,-514,0.0,2,5,11.79,0,False,False
sktime/sktime,A unified framework for machine learning with time series,Python,"['ai', 'anomaly-detection', 'changepoint-detection', 'data-mining', 'data-science', 'forecasting', 'hacktoberfest', 'machine-learning', 'scikit-learn', 'sktime', 'time-series', 'time-series-analysis', 'time-series-classification', 'time-series-regression', 'time-series-segmentation']",main,BSD-3-Clause,2018-11-06T15:08:24Z,2026-05-29T17:45:47Z,2026-05-29T17:45:38Z,9781,2179,2351,9781,91213,False,False,True,True,True,575,0,True,16508,True,955,97,2247,-514,-514,0.0,3,5,16.88,15,False,False
dlt-hub/dlt,data load tool (dlt) is an open source Python library that makes data loading easy 🛠️ ,Python,"['data', 'data-engineering', 'data-lake', 'data-loading', 'data-warehouse', 'elt', 'extract', 'load', 'python', 'transform']",devel,Apache-2.0,2022-01-26T09:51:04Z,2026-05-29T17:47:03Z,2026-05-29T17:45:25Z,5395,514,333,5395,112077,False,False,False,True,False,189,0,True,7636,True,48,124,1070,-514,-514,0.0,2,5,14.84,10,False,False
paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",Python,"['angular', 'archiving', 'django', 'dms', 'document-management', 'document-management-system', 'hacktoberfest', 'machine-learning', 'ocr', 'optical-character-recognition', 'pdf']",dev,GPL-3.0,2022-02-12T21:56:52Z,2026-05-29T17:54:34Z,2026-05-29T17:45:08Z,41703,2764,9,41703,186295,False,False,True,False,True,437,1356,True,7093,True,8,149,1053,-514,-514,38.63,3,4,18.56,11,False,False
nix-community/NUR,Nix User Repository: User contributed nix packages [maintainer=@Pandapip1],Python,"['nix-packages', 'nixpkgs', 'nur', 'overlays']",main,MIT,2018-02-28T18:49:50Z,2026-05-29T17:45:03Z,2026-05-29T17:44:59Z,1857,498,48,1857,24054,False,False,False,False,False,623,486,True,16720,True,16,0,2498,-514,-514,5.84,2,3,13.74,4,False,False
learningequality/kolibri,Kolibri Learning Platform: the offline app for universal education,Python,"['edtech', 'education', 'hacktoberfest', 'oer', 'offline-first', 'sdg-4']",develop,MIT,2016-01-19T19:22:07Z,2026-05-29T17:44:39Z,2026-05-29T17:47:38Z,1062,942,490,1062,158376,False,False,True,True,True,238,2451,True,2295,True,34,153,3269,-514,-514,22.49,3,5,13.82,6,False,False
debpalash/OmniVoice-Studio,"The open-source ElevenLabs alternative for local voice cloning, design, create, dubbing and dictation Desktop App",Python,"['asr', 'dubbing', 'dubbing-ai', 'elevenlabs', 'local-ai', 'omnivoice', 'omnivoice-studio', 'self-hosted', 'speech-recognition', 'speech-to-text', 'text-to-speech', 'transcription', 'tts', 'video-editing', 'voice-ai', 'voice-cloning', 'voice-generation']",main,NOASSERTION,2026-04-09T21:40:26Z,2026-05-29T17:55:16Z,2026-05-29T17:44:17Z,5263,786,9,5263,16732,False,False,False,True,True,8,0,True,20003,True,4,8,-464,-514,-514,0.0,2,5,15.24,17,False,False
sympy/sympy,A computer algebra system written in pure Python,Python,"['computer-algebra', 'hacktoberfest', 'math', 'python', 'science']",master,NOASSERTION,2010-04-30T20:37:14Z,2026-05-29T17:43:46Z,2026-05-29T17:43:39Z,14655,5300,5754,14655,193484,False,False,True,True,True,1489,1602,True,11196,True,1075,58,5359,-514,-514,8.97,3,5,18.17,5,False,False
newton-physics/newton,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists and simulation researchers.",Python,"['newton-physics', 'nvidia-warp', 'physics-simulation', 'robotics']",main,Apache-2.0,2025-04-22T04:12:07Z,2026-05-29T17:43:26Z,2026-05-29T17:51:23Z,4990,548,254,4990,69710,False,False,False,True,True,69,0,True,40015,True,69,3,-112,-514,-514,0.0,2,5,14.82,4,False,False
DataDog/integrations-core,Core integrations of the Datadog Agent,Python,"['datadog', 'datadog-agent', 'dd', 'integrations']",master,BSD-3-Clause,2015-12-01T16:41:45Z,2026-05-29T17:42:41Z,2026-05-29T17:42:39Z,1119,1537,356,1119,559246,False,False,True,True,True,1166,3039,True,2865,True,256,51,3318,-514,-514,27.48,3,5,14.36,4,False,False
PostHog/posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",Python,"['ab-testing', 'ai-analytics', 'analytics', 'cdp', 'data-warehouse', 'experiments', 'feature-flags', 'javascript', 'product-analytics', 'python', 'react', 'session-replay', 'surveys', 'typescript', 'web-analytics']",master,NOASSERTION,2020-01-23T22:46:58Z,2026-05-29T17:42:40Z,2026-05-29T17:56:40Z,34761,2792,4064,34761,5155896,False,False,False,True,False,494,25728,True,10700,True,1016,232,1804,-514,-514,427.85,2,5,18.39,15,False,False
pycurl/pycurl,PycURL - Python interface to libcurl,Python,"['http-client', 'libcurl', 'libcurl-bindings', 'python']",master,LGPL-2.1,2013-08-03T20:56:39Z,2026-05-29T17:42:21Z,2026-05-29T17:42:16Z,1153,325,5,1153,4010,False,False,False,False,False,117,0,True,8184,True,3,0,4168,-514,-514,0.0,2,3,12.84,4,False,False
NVIDIA-NeMo/Megatron-Bridge,Training library for Megatron-based models with bidirectional Hugging Face conversion capability,Python,[],main,Apache-2.0,2025-05-21T21:45:06Z,2026-05-29T17:41:49Z,2026-05-29T17:57:54Z,679,338,364,679,83302,False,False,True,True,True,127,0,True,22120,True,157,13,-141,-514,-514,0.0,3,5,12.35,0,False,False
lucidrains/vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",Python,"['artificial-intelligence', 'attention-mechanism', 'computer-vision', 'image-classification', 'transformers']",main,MIT,2020-10-03T22:47:24Z,2026-05-29T17:41:32Z,2026-05-29T17:41:20Z,25228,3489,141,25228,10989,False,False,True,True,True,27,0,True,75549,False,11,251,1550,-514,-514,0.0,3,4,18.29,5,False,False
livekit/agents,A framework for building realtime voice AI agents 🤖🎙️📹 ,Python,"['agents', 'ai', 'openai', 'real-time', 'video', 'voice']",main,Apache-2.0,2023-10-19T23:00:55Z,2026-05-29T17:41:11Z,2026-05-29T17:41:08Z,10737,3176,564,10737,30129,False,False,True,False,False,384,0,True,17978,True,356,355,439,-514,-514,0.0,3,4,17.35,6,False,False
paradigmxyz/centaur,"Multiplayer, self-hosted, secure agents.",Python,[],main,NOASSERTION,2026-05-18T17:30:29Z,2026-05-29T17:41:09Z,2026-05-29T17:41:06Z,666,94,56,666,31592,False,False,True,True,False,17,0,True,8439,True,38,0,-503,-514,-514,0.0,3,4,11.06,0,False,False
vllm-project/vllm-omni,A framework for efficient model inference with omni-modality models,Python,"['audio-generation', 'diffusion', 'image-generation', 'inference', 'model-serving', 'multimodal', 'pytorch', 'transformer', 'video-generation']",main,Apache-2.0,2025-09-11T00:34:43Z,2026-05-29T17:56:16Z,2026-05-29T17:40:55Z,4836,1016,859,4836,57642,False,False,False,True,False,225,0,True,6593,True,413,14,-254,-514,-514,0.0,2,5,15.41,9,False,False
